Ev(kJ/mol),Rv(A),x,y,z
-5.743479398409131,5.313,18.441,10.712,7.374
-11.465723964490106,3.177,17.663,9.087,5.233
-8.36597132197685,3.787,17.277,10.723,5.894
-16.71560079322266,2.443,16.799,9.545,4.486
-15.214052874446967,2.644,17.048,9.41,4.714
-15.520093124312714,2.190,16.605,10.875,4.185
-11.93951049086858,3.024,16.713,10.869,5.066
-16.606111129640915,2.530,16.057,10.676,4.424
-13.582152963463882,2.898,16.347,10.871,4.868
-17.295920606867575,2.417,15.905,10.695,4.239
-17.285443133072082,2.387,16.048,10.503,4.289
-10.120535707634605,3.412,16.869,10.823,5.486
-11.08955852979303,3.247,16.692,10.868,5.291
-11.966413762666136,3.112,16.581,10.82,5.144
-12.05865846378337,3.102,16.546,10.869,5.12
-13.53996794830939,2.907,17.58,8.75,4.877
-16.858060978990828,2.424,16.845,9.404,4.462
-12.550516704402352,3.024,17.617,8.899,5.044
-15.530481955276514,2.665,17.891,6.822,3.94
-16.572417293313734,2.499,17.667,7.235,3.955
-16.2942640029434,2.574,19.93,12.973,4.45
-5.805391339070626,5.142,18.723,10.883,7.17
-5.742981490401635,5.332,18.725,10.882,7.364
-17.331408965423012,2.244,18.776,13.101,4.265
-15.850547208682178,2.544,18.617,12.854,4.633
-8.643355981284689,3.699,18.071,11.991,5.807
-5.783417934748526,5.213,18.668,10.979,7.262
-17.369034009867423,2.281,19.263,13.101,4.263
-11.663141593564008,3.130,19.635,12.46,5.204
-9.914677662344143,3.429,19.376,12.238,5.544
-16.02757865905864,2.616,19.912,12.941,4.498
-16.722513527328747,2.529,19.965,13.033,4.369
-17.276672186396464,2.425,20.03,13.142,4.22
-17.310878647850636,2.416,21.44,10.814,4.191
-11.959797293039966,3.463,21.505,12.407,5.252
-16.983169280027855,2.445,21.942,11.418,4.003
-16.928158438830096,2.455,21.961,11.45,4.004
-5.816576547454364,5.224,18.965,10.931,7.292
-15.027897742584395,2.740,22.003,11.914,4.283
-13.533230909579002,2.881,20.077,12.682,4.853
-16.504797650564335,2.529,22.013,11.61,4.054
-14.61423173008736,2.805,21.999,12.003,4.349
-6.441109373991329,4.749,19.493,11.23,6.895
-16.77737859456994,2.483,22.014,11.54,3.999
-10.401416110946894,3.346,19.824,12.288,5.433
-6.35136853218914,4.802,19.433,11.199,6.941
-14.363720486772143,2.844,21.968,12.03,4.41
-9.697701660577692,3.796,20.766,11.991,5.867
-8.61303428644772,4.007,20.414,11.804,6.143
-14.125033005700741,2.916,22.269,13.384,3.865
-17.274261901112983,2.308,20.364,13.314,3.976
-15.260692405593888,2.422,22.012,13.312,3.411
-13.30480371500502,3.323,22.425,12.952,4.491
-17.381968769840526,2.386,20.126,13.204,4.137
-16.939336210515044,2.383,21.029,13.357,3.887
